,Year,District,Party,Incumbent,Gender,Age,Edu,score,score_CNN,vote_share,ln_vote_share,Poverty (%),Median_Household_Income,Pop_Total,Sex Ratio,Agesq,Edu_Level,Master & Above,College,High School,Republican,Democratic,Other,city_type,Incumbent_0,Incumbent_1,Gender_F,Gender_M,city_type_rural,city_type_transition,city_type_urban
102,2018,52,Democratic,1,M,60.0,Doctor,65.0,65.0,0.6384713875009712,-0.4486784165716267,8.6,101130,767172,1.0549268347561025,3600.0,3,1,0,0,0,1,0,urban,0,1,0,1,0,0,1
104,2018,53,Democratic,1,F,74.0,Master,73.0,74.0,0.6907408647514454,-0.369990540381597,11.4,81279,796701,0.992753858814054,5476.0,3,1,0,0,0,1,0,transition,0,1,1,0,0,1,0
105,2018,53,Republican,0,F,26.0,Bachelor,83.0,85.0,0.3092591352485546,-1.1735757281343429,11.4,81279,796701,0.992753858814054,676.0,2,0,1,0,1,0,0,transition,1,0,1,0,0,1,0
106,2020,1,Republican,1,M,60.0,Bachelor,49.0,56.0,0.5699444263013485,-0.5622164206236852,15.4,57693,704482,1.0069683036197574,3600.0,2,0,1,0,1,0,0,rural,0,1,0,1,1,0,0
107,2020,1,Democratic,0,F,36.0,Master,79.0,79.0,0.4300555736986515,-0.8438408374857933,15.4,57693,704482,1.0069683036197574,1296.0,3,1,0,0,0,1,0,rural,1,0,1,0,1,0,0
108,2020,2,Democratic,1,M,56.0,Doctor,70.0,69.0,0.7573793263109156,-0.2778910594891454,11.2,81739,714171,0.9776884861844182,3136.0,3,1,0,0,0,1,0,transition,0,1,0,1,0,1,0
109,2020,2,Republican,0,M,62.0,Bachelor,73.0,70.0,0.2426206736890843,-1.4162560689179513,11.2,81739,714171,0.9776884861844182,3844.0,2,0,1,0,1,0,0,transition,1,0,0,1,0,1,0
110,2020,3,Democratic,1,M,75.0,Master,79.0,76.0,0.5467347046528168,-0.6037915948457099,13.3,74939,746967,1.0001204945094668,5625.0,3,1,0,0,0,1,0,transition,0,1,0,1,0,1,0
112,2020,4,Republican,1,M,64.0,Bachelor,85.0,83.0,0.559454054323088,-0.580793873774439,8.5,82657,750420,0.9872463706708896,4096.0,2,0,1,0,1,0,0,transition,0,1,0,1,0,1,0
113,2020,4,Democratic,0,F,36.0,Master,78.0,77.0,0.440545945676912,-0.8197405355788155,8.5,82657,750420,0.9872463706708896,1296.0,3,1,0,0,0,1,0,transition,1,0,1,0,0,1,0
114,2020,5,Democratic,1,M,69.0,Master,58.0,73.0,0.7608005385543183,-0.2733840598722398,9.3,86711,724984,0.9531239897411582,4761.0,3,1,0,0,0,1,0,transition,0,1,0,1,0,1,0
115,2020,5,Republican,0,M,54.0,High_school,63.0,66.0,0.2391994614456817,-1.4304575083894586,9.3,86711,724984,0.9531239897411582,2916.0,1,0,0,1,1,0,0,transition,1,0,0,1,0,1,0
116,2020,6,Democratic,1,F,76.0,Bachelor,69.0,68.0,0.7334325517223759,-0.310019639652522,17.4,64395,764174,0.962172585652184,5776.0,2,0,1,0,0,1,0,transition,0,1,1,0,0,1,0
118,2020,7,Democratic,1,M,55.0,Doctor,82.0,84.0,0.5662391103355775,-0.5687388335652632,10.6,82795,762260,0.9458959938937066,3025.0,3,1,0,0,0,1,0,transition,0,1,0,1,0,1,0
119,2020,7,Republican,0,M,65.0,Master,76.0,75.0,0.4337608896644225,-0.8352618421816383,10.6,82795,762260,0.9458959938937066,4225.0,3,1,0,0,1,0,0,transition,1,0,0,1,0,1,0
120,2020,8,Republican,0,M,50.0,Doctor,67.0,67.0,0.5605963738604293,-0.5787541085912606,17.9,56872,729399,1.0118410273808245,2500.0,3,1,0,0,1,0,0,rural,1,0,0,1,1,0,0
122,2020,9,Democratic,1,M,69.0,Doctor,64.0,59.0,0.5758302765936354,-0.551942320398253,13.3,75842,775716,0.9673243723053512,4761.0,3,1,0,0,0,1,0,transition,0,1,0,1,0,1,0
123,2020,9,Republican,0,M,77.0,Doctor,71.0,72.0,0.4241697234063646,-0.8576216127925225,13.3,75842,775716,0.9673243723053512,5929.0,3,1,0,0,1,0,0,transition,1,0,0,1,0,1,0
124,2020,10,Democratic,1,M,34.0,Master,68.0,70.0,0.5516692133482496,-0.5948066635085009,12.4,71531,757213,0.996253793001632,1156.0,3,1,0,0,0,1,0,transition,0,1,0,1,0,1,0
125,2020,10,Republican,0,M,53.0,Doctor,52.0,51.0,0.4483307866517504,-0.8022239559611086,12.4,71531,757213,0.996253793001632,2809.0,3,1,0,0,1,0,0,transition,1,0,0,1,0,1,0
126,2020,11,Democratic,1,M,68.0,Bachelor,71.0,74.0,0.7299276166266332,-0.3148099050618945,8.9,105392,760284,0.9596615176033012,4624.0,2,0,1,0,0,1,0,urban,0,1,0,1,0,0,1
128,2020,12,Democratic,1,F,80.0,Bachelor,86.0,86.0,0.7763493594158976,-0.2531526546781201,10.3,122043,763777,1.0534951873958165,6400.0,2,0,1,0,0,1,0,urban,0,1,1,0,0,0,1
129,2020,12,Democratic,0,M,46.0,Doctor,72.0,74.0,0.2236506405841025,-1.4976700848815714,10.3,122043,763777,1.0534951873958165,2116.0,3,1,0,0,0,1,0,urban,1,0,0,1,0,0,1
130,2020,13,Democratic,1,F,74.0,Master,71.0,69.0,0.9036569299207868,-0.1013054929191971,13.3,91829,760817,0.9455797099596216,5476.0,3,1,0,0,0,1,0,transition,0,1,1,0,0,1,0
132,2020,14,Democratic,1,F,70.0,Doctor,77.0,71.0,0.7928705569218406,-0.2320953027999294,6.7,123507,749549,0.9841411440823782,4900.0,3,1,0,0,0,1,0,transition,0,1,1,0,0,1,0
133,2020,14,Republican,0,M,51.0,Master,77.0,76.0,0.2071294430781594,-1.5744113522734042,6.7,123507,749549,0.9841411440823782,2601.0,3,1,0,0,1,0,0,transition,1,0,0,1,0,1,0
134,2020,15,Democratic,1,M,40.0,Doctor,54.0,53.0,0.7090466616671676,-0.3438339412627676,6.3,122791,788527,0.9838105469192238,1600.0,3,1,0,0,0,1,0,urban,0,1,0,1,0,0,1
135,2020,15,Republican,0,F,61.0,Master,75.0,74.0,0.2909533383328324,-1.2345923740396894,6.3,122791,788527,0.9838105469192238,3721.0,3,1,0,0,1,0,0,urban,1,0,1,0,0,0,1
136,2020,16,Democratic,1,M,68.0,Bachelor,77.0,76.0,0.5937830193467418,-0.5212413136481954,24.1,51952,736400,0.9968057615601332,4624.0,2,0,1,0,0,1,0,transition,0,1,0,1,0,1,0
137,2020,16,Republican,0,M,62.0,Master,75.0,74.0,0.4062169806532582,-0.900867827033437,24.1,51952,736400,0.9968057615601332,3844.0,3,1,0,0,1,0,0,transition,1,0,0,1,0,1,0
138,2020,17,Democratic,1,M,44.0,Doctor,87.0,87.0,0.7134588479027094,-0.3376305201088174,6.0,131233,776763,1.051086853195602,1936.0,3,1,0,0,0,1,0,urban,0,1,0,1,0,0,1
139,2020,17,Republican,0,M,48.0,Master,65.0,65.0,0.2865411520972906,-1.2498731158043594,6.0,131233,776763,1.051086853195602,2304.0,3,1,0,0,1,0,0,urban,1,0,0,1,0,0,1
140,2020,18,Democratic,1,F,78.0,Bachelor,80.0,83.0,0.6316766775056883,-0.4593776019653371,5.9,147196,744487,0.993677428338832,6084.0,2,0,1,0,0,1,0,transition,0,1,1,0,0,1,0
141,2020,18,Democratic,0,M,53.0,Master,86.0,88.0,0.3683233224943117,-0.9987941328162174,5.9,147196,744487,0.993677428338832,2809.0,3,1,0,0,0,1,0,transition,1,0,0,1,0,1,0
142,2020,19,Democratic,1,F,73.0,Doctor,74.0,78.0,0.7168231494407831,-0.3329261223060992,8.4,112598,758327,1.0173797609451525,5329.0,3,1,0,0,0,1,0,transition,0,1,1,0,0,1,0
144,2020,20,Democratic,1,M,51.0,Doctor,80.0,79.0,0.7677618828470867,-0.2642756422855892,12.1,87592,736750,1.0100564207217924,2601.0,3,1,0,0,0,1,0,transition,0,1,0,1,0,1,0
145,2020,20,Republican,0,M,52.0,Bachelor,66.0,66.0,0.2322381171529132,-1.4599920666319322,12.1,87592,736750,1.0100564207217924,2704.0,2,0,1,0,1,0,0,transition,1,0,0,1,0,1,0
146,2020,21,Republican,0,M,43.0,Bachelor,60.0,63.0,0.5044676928857421,-0.6842514791265145,23.7,52937,713346,1.115322571079507,1849.0,2,0,1,0,1,0,0,rural,1,0,0,1,1,0,0
147,2020,21,Democratic,1,M,57.0,Master,77.0,73.0,0.4955323071142579,-0.7021227262997332,23.7,52937,713346,1.115322571079507,3249.0,3,1,0,0,0,1,0,rural,0,1,0,1,1,0,0
148,2020,22,Republican,1,M,47.0,Master,72.0,70.0,0.542262303301083,-0.6120054401806245,16.3,70172,769728,0.9708063958624044,2209.0,3,1,0,0,1,0,0,transition,0,1,0,1,0,1,0
149,2020,22,Democratic,0,M,41.0,Bachelor,77.0,78.0,0.457737696698917,-0.7814589735628061,16.3,70172,769728,0.9708063958624044,1681.0,2,0,1,0,0,1,0,transition,1,0,0,1,0,1,0
150,2020,23,Republican,1,M,55.0,Master,71.0,69.0,0.6214008976930465,-0.4757788373942906,17.6,63613,748143,1.025281400750402,3025.0,3,1,0,0,1,0,0,transition,0,1,0,1,0,1,0
151,2020,23,Democratic,0,F,62.0,Bachelor,78.0,77.0,0.3785991023069535,-0.9712774112954268,17.6,63613,748143,1.025281400750402,3844.0,2,0,1,0,0,1,0,transition,1,0,1,0,0,1,0
152,2020,24,Democratic,1,M,56.0,Master,55.0,65.0,0.5866342850046227,-0.533353677156253,12.2,82172,736030,1.010176101728244,3136.0,3,1,0,0,0,1,0,transition,0,1,0,1,0,1,0
153,2020,24,Republican,0,M,62.0,Bachelor,84.0,86.0,0.4133657149953773,-0.8834225693890441,12.2,82172,736030,1.010176101728244,3844.0,2,0,1,0,1,0,0,transition,1,0,0,1,0,1,0
154,2020,25,Republican,1,M,44.0,Master,70.0,65.0,0.5004912330391835,-0.6921651967855035,12.3,85317,710525,0.993208461790935,1936.0,3,1,0,0,1,0,0,transition,0,1,0,1,0,1,0
155,2020,25,Democratic,0,F,51.0,Bachelor,79.0,79.0,0.4995087669608164,-0.6941301295744482,12.3,85317,710525,0.993208461790935,2601.0,2,0,1,0,0,1,0,transition,1,0,1,0,0,1,0
156,2020,26,Democratic,1,F,68.0,Master,69.0,68.0,0.6058485842666643,-0.5011251850793679,9.1,92419,724221,0.9828198922376028,4624.0,3,1,0,0,0,1,0,transition,0,1,1,0,0,1,0
158,2020,27,Democratic,1,F,67.0,Doctor,82.0,82.0,0.6977574546669272,-0.3598837227576006,10.4,90099,711767,0.9409903927701708,4489.0,3,1,0,0,0,1,0,transition,0,1,1,0,0,1,0
159,2020,27,Republican,0,M,66.0,Bachelor,67.0,77.0,0.3022425453330728,-1.1965254537018233,10.4,90099,711767,0.9409903927701708,4356.0,2,0,1,0,1,0,0,transition,1,0,0,1,0,1,0
160,2020,28,Democratic,1,M,60.0,Doctor,67.0,70.0,0.7267292708955734,-0.3192012629694477,12.9,76600,712193,0.988999234777946,3600.0,3,1,0,0,0,1,0,transition,0,1,0,1,0,1,0
161,2020,28,Republican,0,M,62.0,Doctor,84.0,81.0,0.2732707291044265,-1.297292293487437,12.9,76600,712193,0.988999234777946,3844.0,3,1,0,0,1,0,0,transition,1,0,0,1,0,1,0
162,2020,29,Democratic,1,M,57.0,Bachelor,65.0,67.0,0.5661218143203883,-0.5689460042880508,16.4,65938,715422,0.9815094350074368,3249.0,2,0,1,0,0,1,0,rural,0,1,0,1,1,0,0
163,2020,29,Democratic,0,F,37.0,Master,76.0,80.0,0.4338781856796116,-0.8349914624367952,16.4,65938,715422,0.9815094350074368,1369.0,3,1,0,0,0,1,0,rural,1,0,1,0,1,0,0
164,2020,30,Democratic,1,M,66.0,Doctor,67.0,69.0,0.6948278257647685,-0.3640911968207254,10.2,92394,773221,0.9633419580579388,4356.0,3,1,0,0,0,1,0,transition,0,1,0,1,0,1,0
165,2020,30,Republican,0,M,63.0,Bachelor,66.0,69.0,0.3051721742352314,-1.186879155958841,10.2,92394,773221,0.9633419580579388,3969.0,2,0,1,0,1,0,0,transition,1,0,0,1,0,1,0
166,2020,31,Democratic,1,M,41.0,Bachelor,74.0,74.0,0.6128823632232128,-0.4895822648496443,14.5,72140,752561,0.96328113994125,1681.0,2,0,1,0,0,1,0,transition,0,1,0,1,0,1,0
167,2020,31,Republican,0,F,66.0,Bachelor,60.0,59.0,0.3871176367767873,-0.9490266611427292,14.5,72140,752561,0.96328113994125,4356.0,2,0,1,0,1,0,0,transition,1,0,1,0,0,1,0
168,2020,32,Democratic,1,F,84.0,Bachelor,77.0,75.0,0.6657761010163228,-0.4068018496246552,11.3,78940,707305,0.9693257341415132,7056.0,2,0,1,0,0,1,0,transition,0,1,1,0,0,1,0
170,2020,33,Democratic,1,M,51.0,Doctor,77.0,80.0,0.6758019914412189,-0.3918551579154948,8.0,118525,708972,0.9409798365570202,2601.0,3,1,0,0,0,1,0,transition,0,1,0,1,0,1,0
171,2020,33,Republican,0,M,62.0,Master,74.0,77.0,0.3241980085587811,-1.1264008123311942,8.0,118525,708972,0.9409798365570202,3844.0,3,1,0,0,1,0,0,transition,1,0,0,1,0,1,0
172,2020,34,Democratic,1,M,46.0,Master,79.0,79.0,0.5297984864570042,-0.635258558967795,21.9,54567,734546,1.041931332023095,2116.0,3,1,0,0,0,1,0,transition,0,1,0,1,0,1,0
173,2020,34,Democratic,0,M,36.0,Doctor,76.0,76.0,0.4702015135429957,-0.7545939239468619,21.9,54567,734546,1.041931332023095,1296.0,3,1,0,0,0,1,0,transition,1,0,0,1,0,1,0
174,2020,35,Democratic,1,F,55.0,Bachelor,72.0,72.0,0.6932996652288149,-0.366292955900079,14.2,71127,748454,1.0016152971852643,3025.0,2,0,1,0,0,1,0,transition,0,1,1,0,0,1,0
175,2020,35,Republican,0,M,56.0,Bachelor,70.0,71.0,0.3067003347711851,-1.181884116336002,14.2,71127,748454,1.0016152971852643,3136.0,2,0,1,0,1,0,0,transition,1,0,0,1,0,1,0
176,2020,36,Democratic,1,M,48.0,Master,72.0,69.0,0.6033792970775145,-0.5052092632907476,16.7,56181,755516,1.0032772975552846,2304.0,3,1,0,0,0,1,0,transition,0,1,0,1,0,1,0
178,2020,37,Democratic,1,F,67.0,Master,66.0,73.0,0.8593997053479019,-0.151521150499223,16.9,71265,727449,0.9406920285988688,4489.0,3,1,0,0,0,1,0,rural,0,1,1,0,1,0,0
179,2020,37,Republican,0,M,33.0,Bachelor,75.0,73.0,0.1406002946520981,-1.9618342039313947,16.9,71265,727449,0.9406920285988688,1089.0,2,0,1,0,1,0,0,rural,1,0,0,1,1,0,0
180,2020,38,Democratic,1,F,51.0,Doctor,72.0,69.0,0.7434135031966465,-0.2965028571776197,9.8,80289,706482,0.9565856779264372,2601.0,3,1,0,0,0,1,0,transition,0,1,1,0,0,1,0
181,2020,38,Democratic,0,M,27.0,Bachelor,76.0,75.0,0.2565864968033535,-1.3602894517107795,9.8,80289,706482,0.9565856779264372,729.0,2,0,1,0,0,1,0,transition,1,0,0,1,0,1,0
182,2020,39,Republican,0,F,58.0,Bachelor,85.0,85.0,0.5059761535619853,-0.6812657381530549,8.8,101318,732667,0.9678686058848018,3364.0,2,0,1,0,1,0,0,transition,1,0,1,0,0,1,0
183,2020,39,Democratic,1,M,49.0,Master,68.0,67.0,0.4940238464380146,-0.7051714908175468,8.8,101318,732667,0.9678686058848018,2401.0,3,1,0,0,0,1,0,transition,0,1,0,1,0,1,0
184,2020,40,Democratic,1,F,79.0,Bachelor,74.0,76.0,0.7273917405744148,-0.3182901012168168,19.9,59385,708362,1.011352085001505,6241.0,2,0,1,0,0,1,0,rural,0,1,1,0,1,0,0
186,2020,41,Democratic,1,M,60.0,Master,79.0,80.0,0.6404298565746471,-0.4456156771870513,13.5,74149,768401,0.9856708349161312,3600.0,3,1,0,0,0,1,0,transition,0,1,0,1,0,1,0
187,2020,41,Republican,0,F,42.0,Bachelor,73.0,74.0,0.3595701434253528,-1.0228460070136192,13.5,74149,768401,0.9856708349161312,1764.0,2,0,1,0,1,0,0,transition,1,0,1,0,0,1,0
188,2020,42,Republican,1,M,67.0,Bachelor,74.0,76.0,0.5713237711487935,-0.5597992052449604,8.4,95012,822515,0.9974379834136746,4489.0,2,0,1,0,1,0,0,transition,0,1,0,1,0,1,0
189,2020,42,Democratic,0,M,46.0,Doctor,78.0,81.0,0.4286762288512065,-0.8470533562946171,8.4,95012,822515,0.9974379834136746,2116.0,3,1,0,0,0,1,0,transition,1,0,0,1,0,1,0
190,2020,43,Democratic,1,F,82.0,Bachelor,75.0,76.0,0.7168457491597636,-0.3328945951954749,15.6,69727,727766,0.9431188006461344,6724.0,2,0,1,0,0,1,0,rural,0,1,1,0,1,0,0
191,2020,43,Republican,0,M,35.0,Bachelor,76.0,72.0,0.2831542508402363,-1.2617634738553851,15.6,69727,727766,0.9431188006461344,1225.0,2,0,1,0,1,0,0,rural,1,0,0,1,1,0,0
192,2020,44,Democratic,1,F,44.0,Doctor,69.0,69.0,0.6778475606204741,-0.3888328531642922,17.5,63485,711773,0.9606235228656268,1936.0,3,1,0,0,0,1,0,rural,0,1,1,0,1,0,0
194,2020,45,Democratic,1,F,46.0,Doctor,77.0,77.0,0.534640031426306,-0.6261615969990121,8.5,115609,781871,0.95837883600004,2116.0,3,1,0,0,0,1,0,urban,0,1,1,0,0,0,1
195,2020,45,Republican,0,M,67.0,Master,68.0,72.0,0.4653599685736939,-0.764944046910805,8.5,115609,781871,0.95837883600004,4489.0,3,1,0,0,1,0,0,urban,1,0,0,1,0,0,1
196,2020,46,Democratic,1,M,62.0,Doctor,66.0,73.0,0.6875378508968757,-0.3746383951069273,14.3,78526,730071,1.008150095996743,3844.0,3,1,0,0,0,1,0,transition,0,1,0,1,0,1,0
198,2020,47,Democratic,1,M,79.0,Doctor,66.0,64.0,0.6327187948580438,-0.4577291974730613,13.5,78328,709979,0.9793831390599604,6241.0,3,1,0,0,0,1,0,transition,0,1,0,1,0,1,0
200,2020,48,Republican,0,F,65.0,Master,80.0,83.0,0.5105998481397115,-0.672169071590169,8.8,102052,720586,0.9713403240764804,4225.0,3,1,0,0,1,0,0,transition,1,0,1,0,0,1,0
201,2020,48,Democratic,1,M,59.0,Doctor,75.0,71.0,0.4894001518602885,-0.7145748176746999,8.8,102052,720586,0.9713403240764804,3481.0,3,1,0,0,0,1,0,transition,0,1,0,1,0,1,0
202,2020,49,Democratic,1,M,42.0,Doctor,64.0,63.0,0.5312957625496111,-0.6324364211836004,7.6,99888,741671,1.0078590301691466,1764.0,3,1,0,0,0,1,0,transition,0,1,0,1,0,1,0
203,2020,49,Republican,0,M,57.0,Bachelor,86.0,85.0,0.4687042374503888,-0.7577833332358238,7.6,99888,741671,1.0078590301691466,3249.0,2,0,1,0,1,0,0,transition,1,0,0,1,0,1,0
204,2020,50,Republican,0,M,67.0,Bachelor,70.0,77.0,0.539532907064346,-0.6170515006587474,10.7,85223,748893,0.9843744617708236,4489.0,2,0,1,0,1,0,0,transition,1,0,0,1,0,1,0
205,2020,50,Democratic,0,M,31.0,Bachelor,78.0,79.0,0.4604670929356539,-0.7755138852632402,10.7,85223,748893,0.9843744617708236,961.0,2,0,1,0,0,1,0,transition,1,0,0,1,0,1,0
206,2020,51,Democratic,1,M,59.0,Doctor,76.0,77.0,0.683047554622438,-0.3811907957407854,18.5,57753,736161,1.0423840728882872,3481.0,3,1,0,0,0,1,0,transition,0,1,0,1,0,1,0
207,2020,51,Republican,0,M,53.0,Bachelor,67.0,68.0,0.316952445377562,-1.1490035309399926,18.5,57753,736161,1.0423840728882872,2809.0,2,0,1,0,1,0,0,transition,1,0,0,1,0,1,0
208,2020,52,Democratic,1,M,62.0,Doctor,65.0,65.0,0.6157580801775558,-0.4849011195705433,8.4,103423,774895,1.0288289845055008,3844.0,3,1,0,0,0,1,0,urban,0,1,0,1,0,0,1
209,2020,52,Republican,0,M,61.0,Master,72.0,73.0,0.3842419198224441,-0.9564829252231944,8.4,103423,774895,1.0288289845055008,3721.0,3,1,0,0,1,0,0,urban,1,0,0,1,0,0,1
210,2020,53,Democratic,0,F,31.0,Master,80.0,81.0,0.5950104223282705,-0.519176357071818,10.8,83756,769064,0.9941813127829608,961.0,3,1,0,0,0,1,0,transition,1,0,1,0,0,1,0
211,2020,53,Democratic,0,F,45.0,Bachelor,51.0,51.0,0.4049895776717295,-0.9038939463506044,10.8,83756,769064,0.9941813127829608,2025.0,2,0,1,0,0,1,0,transition,1,0,1,0,0,1,0
